,column,ontologies
33,Incubator,['http://purl.bioontology.org/ontology/LNC/LP30454-0']
34,"Incubator, if yes: Specify","['http://purl.bioontology.org/ontology/LNC/LP30454-0', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
35,Postpartum complications,"['http://purl.bioontology.org/ontology/SNOMEDCT/255410009', 'http://purl.bioontology.org/ontology/LNC/19817-6', 'http://purl.bioontology.org/ontology/LNC/LP72306-1', 'http://purl.bioontology.org/ontology/LNC/MTHU008883']"
36,"Postpartum complications, if yes: Specify","['http://purl.bioontology.org/ontology/SNOMEDCT/255410009', 'http://purl.bioontology.org/ontology/LNC/19817-6', 'http://purl.bioontology.org/ontology/LNC/LP72306-1', 'http://purl.bioontology.org/ontology/LNC/MTHU008883', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
37,Medical pathlogies,"['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005']"
38,Medical pathlogies table,"['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
39,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
40,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
41,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
42,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
