,column,ontologies
1181,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 19. I feel like I don't want to move,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540']"
1182,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 20. I worry that I will suddenly get a scared feeling when there is nothing to be afraid of,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/SNOMEDCT/79015004', 'http://semanticscience.org/resource/SIO_000873', 'http://purl.bioontology.org/ontology/SNOMEDCT/1402001', 'http://purl.bioontology.org/ontology/LNC/LA16661-3', 'http://purl.obolibrary.org/obo/NCIT_C77965', 'http://purl.bioontology.org/ontology/LNC/LP74841-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021518', 'http://purl.bioontology.org/ontology/LNC/LA16668-8']"
1183,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 21. I am tired a lot,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/SNOMEDCT/224960004', 'http://purl.obolibrary.org/obo/HP_0012378', 'http://purl.bioontology.org/ontology/LNC/LA14468-5']"
1184,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 22. I feel afraid that I will make a fool of myself in front of people,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/SNOMEDCT/1402001', 'http://purl.bioontology.org/ontology/LNC/LA16668-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/255549009']"
1185,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 23. I have to do some things in just the right way to stop bad things from happening,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.obolibrary.org/obo/GSSO_003240', 'http://purl.obolibrary.org/obo/HP_0012834', 'http://purl.bioontology.org/ontology/LNC/LA4306-2', 'http://purl.bioontology.org/ontology/LNC/LP199953-3', 'http://purl.obolibrary.org/obo/GSSO_003291', 'http://purl.bioontology.org/ontology/SNOMEDCT/24028007', 'http://purl.bioontology.org/ontology/SNOMEDCT/422117008', 'http://purl.bioontology.org/ontology/OMIM/601783', 'http://purl.bioontology.org/ontology/LNC/LA31734-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/556001', 'http://purl.bioontology.org/ontology/OMIM/603167', 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:936']"
1186,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 24. I feel restless,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/LNC/LA15880-0', 'http://purl.bioontology.org/ontology/LNC/LA16474-1']"
1187,Evaluation of Anxiety and Depression Symptoms in children and adolescents: 25. I worry that something bad will happen to me,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/SNOMEDCT/79015004', 'http://semanticscience.org/resource/SIO_000873', 'http://purl.bioontology.org/ontology/LNC/LA31734-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/556001', 'http://purl.bioontology.org/ontology/OMIM/603167', 'https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:936']"
1188,Evaluation of Anxiety and Depression Symptoms in children and adolescents: Total,"['http://purl.bioontology.org/ontology/LNC/LA27332-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/129265001', 'http://purl.bioontology.org/ontology/LNC/MTHU013060', 'http://purl.obolibrary.org/obo/HP_0000739', 'http://purl.bioontology.org/ontology/OMIM/MTHU004024', 'http://purl.bioontology.org/ontology/OMIM/607834', 'http://purl.bioontology.org/ontology/SNOMEDCT/48694002', 'http://purl.bioontology.org/ontology/LNC/LP74482-8', 'http://purl.bioontology.org/ontology/LNC/LA10574-4', 'http://semanticscience.org/resource/SIO_000815', 'http://purl.bioontology.org/ontology/LNC/LP267437-4', 'http://purl.bioontology.org/ontology/LNC/MTHU058977', 'http://purl.obolibrary.org/obo/HP_0000716', 'http://purl.bioontology.org/ontology/SNOMEDCT/255339005', 'http://purl.bioontology.org/ontology/OMIM/MTHU000940', 'http://purl.bioontology.org/ontology/LNC/LP74718-5', 'http://purl.bioontology.org/ontology/LNC/LA10576-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/MTHU013514', 'http://purl.bioontology.org/ontology/LNC/LP75708-5', 'http://purl.bioontology.org/ontology/LNC/MTHU021540', 'http://purl.bioontology.org/ontology/LNC/LP192138-8', 'http://purl.bioontology.org/ontology/LNC/LA6661-8', 'http://purl.bioontology.org/ontology/LNC/LP172682-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/255619001']"
1189,Application of the WURS,"['http://purl.bioontology.org/ontology/SNOMEDCT/410618006', 'http://purl.bioontology.org/ontology/SNOMEDCT/413568008', 'http://purl.bioontology.org/ontology/SNOMEDCT/410619003']"
1190,"Wender Utah Rating Scale: As a child I was (or had): 1. Active, restless, always on the go","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA16666-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/55561003', 'http://purl.bioontology.org/ontology/LNC/LA16474-1']"
1191,Wender Utah Rating Scale: As a child I was (or had): 2. Afraid of things,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/1402001', 'http://purl.bioontology.org/ontology/LNC/LA16668-8']"
1192,"Wender Utah Rating Scale: As a child I was (or had): 3. Concentration problems, easily distracted","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.obolibrary.org/obo/HP_0031987', 'http://purl.bioontology.org/ontology/LNC/MTHU053652', 'http://purl.bioontology.org/ontology/LNC/LP6194-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/82742001', 'http://purl.bioontology.org/ontology/LNC/LP217221-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/702942001', 'http://purl.bioontology.org/ontology/LNC/100263-3', 'http://purl.obolibrary.org/obo/HP_0000736', 'http://purl.bioontology.org/ontology/LNC/MTHU020654', 'http://purl.bioontology.org/ontology/LNC/LP74792-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/247764002', 'http://purl.bioontology.org/ontology/SNOMEDCT/36203004']"
1193,"Wender Utah Rating Scale: As a child I was (or had): 4. Anxious, worrying","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/79015004']"
1194,"Wender Utah Rating Scale: As a child I was (or had): 5. Nervous, fidgety","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA16658-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/247910009']"
1195,"Wender Utah Rating Scale: As a child I was (or had): 6. Inattentive, daydreaming","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/OMIM/MTHU062629']"
1196,"Wender Utah Rating Scale: As a child I was (or had): 7. Hot or short tempered, low boiling point","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA17202-5', 'http://purl.bioontology.org/ontology/SNOMEDCT/264018002', 'http://purl.bioontology.org/ontology/OMIM/611083', 'http://purl.bioontology.org/ontology/SNOMEDCT/367450005', 'http://purl.bioontology.org/ontology/LNC/LA19631-3', 'http://purl.bioontology.org/ontology/LNC/LA9194-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/62482003']"
1197,"Wender Utah Rating Scale: As a child I was (or had): 8. Shy, sensitive","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/224952000', 'http://purl.bioontology.org/ontology/SNOMEDCT/83185005', 'http://purl.bioontology.org/ontology/LNC/LA16549-0']"
1198,"Wender Utah Rating Scale: As a child I was (or had): 9. Temper outbursts, tantrums","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/OMIM/MTHU008209', 'http://purl.bioontology.org/ontology/OMIM/MTHU033200']"
1199,"Wender Utah Rating Scale: As a child I was (or had): 10. Trouble stick-to-it-ivenessing, not following
through, failing to finish things started","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/733016008', 'http://purl.bioontology.org/ontology/SNOMEDCT/739007000', 'http://purl.bioontology.org/ontology/SNOMEDCT/1691000175103', 'http://purl.bioontology.org/ontology/SNOMEDCT/255260001', 'http://purl.bioontology.org/ontology/SNOMEDCT/255234002', 'http://purl.bioontology.org/ontology/SNOMEDCT/420604000', 'http://purl.bioontology.org/ontology/SNOMEDCT/385652002']"
1200,"Wender Utah Rating Scale: As a child I was (or had): 11. Stubborn, strong willed","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA14974-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/260404005']"
1201,"Wender Utah Rating Scale: As a child I was (or had): 12. Sad or blue, depressed, unhappy","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/OMIM/608516', 'http://purl.obolibrary.org/obo/HP_5200273', 'http://purl.bioontology.org/ontology/LNC/LA16652-2', 'http://purl.obolibrary.org/obo/GSSO_003793', 'http://purl.bioontology.org/ontology/LNC/LA15553-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/405738005', 'http://purl.bioontology.org/ontology/SNOMEDCT/35489007', 'http://purl.bioontology.org/ontology/LNC/LA29197-3', 'http://purl.bioontology.org/ontology/SNOMEDCT/420038007', 'http://purl.bioontology.org/ontology/LNC/LA24977-3']"
1202,"Wender Utah Rating Scale: As a child I was (or had): 13. Uncautious, dare-devilish, involved in pranks","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/248448006', 'http://purl.bioontology.org/ontology/LNC/LA26536-5']"
1203,"Wender Utah Rating Scale: As a child I was (or had): 14. Not getting a kick out of things, dissatisfied with life","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA29496-9', 'http://purl.obolibrary.org/obo/GSSO_010202']"
1204,"Wender Utah Rating Scale: As a child I was (or had): 15. Disobedient with parents, rebellious, sassy","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA32051-7']"
1205,Wender Utah Rating Scale: As a child I was (or had): 16. Low opinion of myself,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA9194-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/62482003', 'http://semanticscience.org/resource/SIO_001004']"
1206,Wender Utah Rating Scale: As a child I was (or had): 17. Irritable,"['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.obolibrary.org/obo/HP_0000737']"
1207,"Wender Utah Rating Scale: As a child I was (or had): 18. Outgoing, friendly, enjoy company of people","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/OMIM/MTHU062628']"
1208,"Wender Utah Rating Scale: As a child I was (or had): 19. Sloppy, disorganized","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4']"
1209,"Wender Utah Rating Scale: As a child I was (or had): 20. Moody, have ups and downs","['http://purl.bioontology.org/ontology/SNOMEDCT/422281007', 'http://purl.bioontology.org/ontology/LNC/LA3587-8', 'http://purl.bioontology.org/ontology/LNC/LP434562-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/278111002', 'http://purl.bioontology.org/ontology/SNOMEDCT/19892000', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/286641001', 'http://www.orpha.net/ORDO/Orphanet_2023']"
